specialty,sample_id,audio_tier,model,metric_source,metric_code,value,metric_name,group,output_type,lower_is_better
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,jiwer.cer(),0.12581699346405228,CER - Character Error Rate,Summary Error Rates,Percentage (%),True
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,jiwer.mer(),0.23591549295774647,MER - Match Error Rate,Summary Error Rates,Percentage (%),True
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,jiwer.wil(),0.34356093344857386,WIL - Word Information Lost,Summary Error Rates,Percentage (%),True
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,jiwer.wip(),0.6564390665514261,WIP - Word Information Preserved,Summary Error Rates,Percentage (%),False
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,result.substitutions,104.0,Substitutions,Error Type Breakdown,Integer count,True
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,result.deletions,51.0,Deletions,Error Type Breakdown,Integer count,True
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,result.insertions,46.0,Insertions,Error Type Breakdown,Integer count,True
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,result.hits,651.0,Hits - Correct Words,Error Type Breakdown,Integer count,False
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,hits / N * 100,80.76923076923077,Word Accuracy,Derived Metrics,Percentage (%),False
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,S / (S+D+I) * 100,51.74129353233831,Substitution Rate,Derived Metrics,Percentage (%),False
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,D / (S+D+I) * 100,25.37313432835821,Deletion Rate,Derived Metrics,Percentage (%),False
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,I / (S+D+I) * 100,22.885572139303484,Insertion Rate,Derived Metrics,Percentage (%),False
HALO,HALO_0001,clean,whisper,WHISPER_Metrics,whisper_wer,24.937965260545905,,,,True
HALO,HALO_0001,med,whisper,WHISPER_Metrics,jiwer.wer(),0.9255583126550868,WER - Word Error Rate,Summary Error Rates,Percentage (%),True
HALO,HALO_0001,med,whisper,WHISPER_Metrics,jiwer.cer(),0.6986461251167133,CER - Character Error Rate,Summary Error Rates,Percentage (%),True
HALO,HALO_0001,med,whisper,WHISPER_Metrics,jiwer.mer(),0.9209876543209876,MER - Match Error Rate,Summary Error Rates,Percentage (%),True
HALO,HALO_0001,med,whisper,WHISPER_Metrics,jiwer.wil(),0.99213330362836,WIL - Word Information Lost,Summary Error Rates,Percentage (%),True
HALO,HALO_0001,med,whisper,WHISPER_Metrics,jiwer.wip(),0.007866696371639946,WIP - Word Information Preserved,Summary Error Rates,Percentage (%),False
HALO,HALO_0001,med,whisper,WHISPER_Metrics,result.substitutions,578.0,Substitutions,Error Type Breakdown,Integer count,True
HALO,HALO_0001,med,whisper,WHISPER_Metrics,result.deletions,164.0,Deletions,Error Type Breakdown,Integer count,True
HALO,HALO_0001,med,whisper,WHISPER_Metrics,result.insertions,4.0,Insertions,Error Type Breakdown,Integer count,True
